Iteration,Epoch,Training Loss,Training Accuracy,Test Accuracy,Gradient Norm
145,5,0.054563118875026705,0.626,0.675,0.15497981719087583
146,5,0.054563118875026705,0.626,0.675,0.15018812580475902
147,5,0.054563118875026705,0.626,0.675,0.19077760532614457
148,5,0.054563118875026705,0.626,0.675,0.06378010496186384
149,5,0.054563118875026705,0.626,0.675,0.2371956655987836
150,5,0.054563118875026705,0.626,0.675,0.292630392097573
151,5,0.054563118875026705,0.626,0.675,0.05156232223539868
152,5,0.054563118875026705,0.626,0.675,0.1550402078950362
153,5,0.054563118875026705,0.626,0.675,0.1284744756678063
154,5,0.054563118875026705,0.626,0.675,0.08780708180470799
155,5,0.054563118875026705,0.626,0.675,0.18008942877159786
156,5,0.054563118875026705,0.626,0.675,0.024732275533441657
157,5,0.054563118875026705,0.626,0.675,0.18301067622189923
158,5,0.054563118875026705,0.626,0.675,0.1298091076753009
159,5,0.054563118875026705,0.626,0.675,0.3484136993077022
160,6,0.047639026805758475,0.563,0.64,0.26658742419209525
161,6,0.047639026805758475,0.563,0.64,0.19536172188666953
162,6,0.047639026805758475,0.563,0.64,0.20042482570442577
163,6,0.047639026805758475,0.563,0.64,0.08996064750093213
164,6,0.047639026805758475,0.563,0.64,0.09947581884384646
165,6,0.047639026805758475,0.563,0.64,0.28982115911671563
166,6,0.047639026805758475,0.563,0.64,0.03680650037705879
167,6,0.047639026805758475,0.563,0.64,0.14068943262850364
168,6,0.047639026805758475,0.563,0.64,0.17404052744340326
169,6,0.047639026805758475,0.563,0.64,0.09790989916252345
170,6,0.047639026805758475,0.563,0.64,0.26046543523759913
171,6,0.047639026805758475,0.563,0.64,0.06723485309397577
172,6,0.047639026805758475,0.563,0.64,0.13779857688193783
173,6,0.047639026805758475,0.563,0.64,0.2439700467937836
174,6,0.047639026805758475,0.563,0.64,0.1623721058879479
175,6,0.047639026805758475,0.563,0.64,0.1170327592930488
176,6,0.047639026805758475,0.563,0.64,0.1629471173286601
177,6,0.047639026805758475,0.563,0.64,0.05420748865645611
178,6,0.047639026805758475,0.563,0.64,0.18500097773504953
179,6,0.047639026805758475,0.563,0.64,0.1732567366415187
180,6,0.047639026805758475,0.563,0.64,0.16799122173129782
181,6,0.047639026805758475,0.563,0.64,0.06714107530526955
182,6,0.047639026805758475,0.563,0.64,0.20570048199072294
183,6,0.047639026805758475,0.563,0.64,0.058602054509373114
184,6,0.047639026805758475,0.563,0.64,0.21260094988521183
185,6,0.047639026805758475,0.563,0.64,0.1548630785795379
186,6,0.047639026805758475,0.563,0.64,0.26050977320552704
187,6,0.047639026805758475,0.563,0.64,0.16851218727722375
188,6,0.047639026805758475,0.563,0.64,0.06253447959545728
189,6,0.047639026805758475,0.563,0.64,0.11305441162256376
190,6,0.047639026805758475,0.563,0.64,0.14975911832569125
191,6,0.047639026805758475,0.563,0.64,0.16129217127938317
192,7,0.04170093709230423,0.581,0.65,0.186139257027197
193,7,0.04170093709230423,0.581,0.65,0.06473015902758858
194,7,0.04170093709230423,0.581,0.65,0.05541942456901195
195,7,0.04170093709230423,0.581,0.65,0.06843868663098586
196,7,0.04170093709230423,0.581,0.65,0.07551495329415174
197,7,0.04170093709230423,0.581,0.65,0.1681479456967891
198,7,0.04170093709230423,0.581,0.65,0.19807389179030935
199,7,0.04170093709230423,0.581,0.65,0.09035691854372112
200,7,0.04170093709230423,0.581,0.65,0.15413144006689436
201,7,0.04170093709230423,0.581,0.65,0.23641975188154796
202,7,0.04170093709230423,0.581,0.65,0.12625332036251008
203,7,0.04170093709230423,0.581,0.65,0.231911087759926
204,7,0.04170093709230423,0.581,0.65,0.47909068070374333
205,7,0.04170093709230423,0.581,0.65,0.25531938510743835
206,7,0.04170093709230423,0.581,0.65,0.15396712877585403
207,7,0.04170093709230423,0.581,0.65,0.12555953789625615
208,7,0.04170093709230423,0.581,0.65,0.1626496493209449
209,7,0.04170093709230423,0.581,0.65,0.13700129119125795
210,7,0.04170093709230423,0.581,0.65,0.1539914458034072
211,7,0.04170093709230423,0.581,0.65,0.07218212985049367
212,7,0.04170093709230423,0.581,0.65,0.057531061802501254
213,7,0.04170093709230423,0.581,0.65,0.2211816813410424
214,7,0.04170093709230423,0.581,0.65,0.4065336374367768
215,7,0.04170093709230423,0.581,0.65,0.08515767658839454
216,7,0.04170093709230423,0.581,0.65,0.14231361460863107
217,7,0.04170093709230423,0.581,0.65,0.3656516527504397
218,7,0.04170093709230423,0.581,0.65,0.06320395676027284
219,7,0.04170093709230423,0.581,0.65,0.06119005537985832
220,7,0.04170093709230423,0.581,0.65,0.098179362862223
221,7,0.04170093709230423,0.581,0.65,0.19210866104468466
222,7,0.04170093709230423,0.581,0.65,0.28661985862991124
223,7,0.04170093709230423,0.581,0.65,0.4126900549051454
224,8,0.03609221298992634,0.52,0.56,0.23522215350171105
225,8,0.03609221298992634,0.52,0.56,0.24833484129531383
226,8,0.03609221298992634,0.52,0.56,0.06467142193281851
227,8,0.03609221298992634,0.52,0.56,0.07081280815977362
228,8,0.03609221298992634,0.52,0.56,0.050091305632869274
229,8,0.03609221298992634,0.52,0.56,0.08378517856066077
230,8,0.03609221298992634,0.52,0.56,0.09880907776805868
231,8,0.03609221298992634,0.52,0.56,0.1428220056200121
232,8,0.03609221298992634,0.52,0.56,0.12153227546815717
233,8,0.03609221298992634,0.52,0.56,0.15359016573057538
234,8,0.03609221298992634,0.52,0.56,0.28011496221107585
235,8,0.03609221298992634,0.52,0.56,0.08466404841516167
236,8,0.03609221298992634,0.52,0.56,0.127217128857504
237,8,0.03609221298992634,0.52,0.56,0.06974765127169001
238,8,0.03609221298992634,0.52,0.56,0.07293005352387572
239,8,0.03609221298992634,0.52,0.56,0.13966519652800305
240,8,0.03609221298992634,0.52,0.56,0.09119735188396176
241,8,0.03609221298992634,0.52,0.56,0.18254832712709396
242,8,0.03609221298992634,0.52,0.56,0.11117512064338554
243,8,0.03609221298992634,0.52,0.56,0.33272143465762505
244,8,0.03609221298992634,0.52,0.56,0.26403123995253147
245,8,0.03609221298992634,0.52,0.56,0.10266179379095547
246,8,0.03609221298992634,0.52,0.56,0.2829332425472978
247,8,0.03609221298992634,0.52,0.56,0.2669994673967615
248,8,0.03609221298992634,0.52,0.56,0.07231594608496633
249,8,0.03609221298992634,0.52,0.56,0.08417570630237113
250,8,0.03609221298992634,0.52,0.56,0.16640918818213837
251,8,0.03609221298992634,0.52,0.56,0.03629189715306149
252,8,0.03609221298992634,0.52,0.56,0.12509585213323726
253,8,0.03609221298992634,0.52,0.56,0.08669383703322264
254,8,0.03609221298992634,0.52,0.56,0.13616084861701572
255,8,0.03609221298992634,0.52,0.56,0.1741758196905028
256,9,0.03158560284972191,0.502,0.55,0.08880975311767587
257,9,0.03158560284972191,0.502,0.55,0.2222991838413795
258,9,0.03158560284972191,0.502,0.55,0.15310578676192488
259,9,0.03158560284972191,0.502,0.55,0.08759633737354522
260,9,0.03158560284972191,0.502,0.55,0.11681088319455103
261,9,0.03158560284972191,0.502,0.55,0.06950793013571777
262,9,0.03158560284972191,0.502,0.55,0.06752148087562095
263,9,0.03158560284972191,0.502,0.55,0.04148126866994212
264,9,0.03158560284972191,0.502,0.55,0.05128270199022029
265,9,0.03158560284972191,0.502,0.55,0.12837779153678686
266,9,0.03158560284972191,0.502,0.55,0.09789295024504381
267,9,0.03158560284972191,0.502,0.55,0.18854952151887885
268,9,0.03158560284972191,0.502,0.55,0.07201788401171452
